symbol,C1,C2,C3,T1,T2,T3
A1BG,0,10,0,0,2,2
A1BG-AS1,0,1,0,1,4,4
A1CF,26,22,24,39,42,65
A2M,0,0,0,0,0,0
A2M-AS1,4,2,4,5,10,6
A2ML1,0,0,0,0,0,0
A2ML1-AS1,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0
A4GALT,1280,915,1038,1276,1133,1412
A4GNT,0,0,2,0,0,2
AA06,0,0,0,0,0,0
AAAS,650,544,532,453,486,504
AACS,6159,5440,6246,3446,3383,3970
AACSP1,0,0,0,0,0,0
AADAC,644,502,640,316,352,367
AADACL2,0,1,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0,0,1,0,0,0
AADACP1,108,113,82,66,91,88
AADAT,18,13,12,0,0,2
AAGAB,2203,1985,2175,758,802,1027
AAK1,1441,1492,1608,1442,1380,1407
AAMDC,283,214,236,342,411,360
AAMP,7563,6465,6185,6610,7097,8305
AANAT,3,6,4,40,48,41
AAR2,1244,1089,1267,1097,998,1083
AARD,0,0,0,0,0,0
AARS1,19451,17411,18619,8700,8079,9662
AARS2,652,562,618,451,578,550
AARSD1,478,421,430,305,295,312
AASDH,450,366,409,371,312,358
AASDHPPT,635,637,653,455,499,451
AASS,108,117,152,69,85,84
AATBC,0,0,8,6,4,11
AATF,892,738,832,690,650,714
AATK,19,16,9,2,0,4
ABALON,1035,804,899,443,482,460
ABAT,917,690,797,275,306,343
ABCA1,112,115,135,269,275,270
ABCA10,42,32,42,27,27,61
ABCA11P,79,76,87,77,114,69
ABCA12,16,10,16,23,12,6
ABCA13,62,35,45,78,91,109
ABCA17P,2,4,2,2,2,0
ABCA2,8361,6549,7401,6458,6377,6347
ABCA3,3471,2986,3498,1908,1823,2056
ABCA4,2,0,4,0,0,7
ABCA5,489,439,512,542,576,505
ABCA6,6,2,2,31,33,42
ABCA7,3193,2347,2775,3309,3083,3422
ABCA8,0,0,0,0,0,0
ABCA9,0,6,4,6,5,3
ABCA9-AS1,0,0,0,0,0,0
ABCB1,2,2,0,0,0,4
ABCB10,494,432,559,439,397,461
ABCB11,48,42,54,77,79,61
ABCB4,47,15,35,28,39,35
ABCB5,0,0,0,0,0,0
ABCB6,1132,937,1138,783,843,865
ABCB7,617,549,642,697,627,715
ABCB8,1111,817,928,466,427,538
ABCB9,361,300,350,172,211,240
ABCC1,3094,2577,2908,1774,1604,1858
ABCC10,1535,1247,1391,713,672,737
ABCC11,29,19,37,13,28,34
ABCC12,3,0,0,0,2,2
ABCC13,0,0,0,0,0,0
ABCC2,23,28,36,10,13,36
ABCC3,34159,27649,31424,16788,16137,17998
ABCC4,101,76,135,39,54,56
ABCC5,1049,900,992,1587,1722,1834
ABCC5-AS1,0,0,0,0,0,0
ABCC6,136,126,122,186,160,193
ABCC6P1,34,47,42,50,66,68
ABCC6P2,15,10,6,8,5,17
ABCC8,2,0,2,2,0,2
ABCC9,0,0,0,0,0,0
ABCD1,796,637,642,513,531,623
ABCD2,0,0,0,0,0,0
ABCD3,4322,3932,4470,3367,3374,3573
ABCD4,1385,1096,1152,1522,1471,1611
ABCE1,1299,1221,1378,673,698,682
ABCF1,610,533,604,513,472,546
ABCF1-DT,0,0,0,0,0,0
ABCF2,1534,1205,1350,905,754,946
ABCF2-H2BK1,0,63,28,26,87,37
ABCF3,2190,1796,2020,1787,1744,1962
